0 -inf -0.757028
0.05 -1.6384e+16 -0.780717
0.1 -4e+12 -0.803192
0.15 -3.0829e+10 -0.824452
0.2 -9.765e+08 -0.844498
0.25 -6.70925e+07 -0.863328
0.3 -7.52122e+06 -0.880944
0.35 -1.18153e+06 -0.897344
0.4 -237442 -0.91253
0.45 -57529.2 -0.926501
0.5 -16128 -0.939257
0.55 -5075.95 -0.950798
0.6 -1751.85 -0.961124
0.65 -650.207 -0.970236
0.7 -255.001 -0.978132
0.75 -103.813 -0.984814
0.8 -42.9589 -0.990281
0.85 -17.5253 -0.994533
0.9 -6.64612 -0.99757
0.95 -1.97097 -0.999393
1 -0.01 -1
1.05 0.747512 -0.999393
1.1 0.973372 -0.99757
1.15 0.971682 -0.994533
1.2 0.880965 -0.990281
1.25 0.763698 -0.984814
1.3 0.647017 -0.978132
1.35 0.541623 -0.970236
1.4 0.450687 -0.961124
1.45 0.374073 -0.950798
1.5 0.310337 -0.939257
1.55 0.257649 -0.926501
1.6 0.214208 -0.91253
1.65 0.178401 -0.897344
1.7 0.148851 -0.880944
1.75 0.124413 -0.863328
1.8 0.104147 -0.844498
1.85 0.087288 -0.824452
1.9 0.0732161 -0.803192
1.95 0.06143 -0.780717
2 0.0515234 -0.757028
2.05 0.0431674 -0.732123
2.1 0.0360947 -0.706003
2.15 0.0300876 -0.678669
2.2 0.0249685 -0.65012
2.25 0.0205918 -0.620356
2.3 0.0168379 -0.589377
2.35 0.0136084 -0.557183
2.4 0.0108216 -0.523774
2.45 0.00840987 -0.489151
2.5 0.00631689 -0.453312
2.55 0.00449561 -0.416259
2.6 0.0029066 -0.377991
2.65 0.00151672 -0.338508
2.7 0.000298049 -0.29781
2.75 -0.000773042 -0.255897
2.8 -0.00171658 -0.212769
2.85 -0.0025496 -0.168427
2.9 -0.00328662 -0.12287
2.95 -0.00394006 -0.0760975
3 -0.00452056 -0.0281105
3.05 -0.00503726 0.0210914
3.1 -0.00549805 0.0715082
3.15 -0.00590973 0.12314
3.2 -0.00627818 0.175986
3.25 -0.00660851 0.230048
3.3 -0.00690515 0.285324
3.35 -0.00717197 0.341815
3.4 -0.00741235 0.399521
3.45 -0.00762924 0.458442
3.5 -0.00782522 0.518577
3.55 -0.00800256 0.579928
3.6 -0.00816327 0.642493
3.65 -0.0083091 0.706274
3.7 -0.00844159 0.771269
3.75 -0.00856214 0.837479
3.8 -0.00867195 0.904903
3.85 -0.0087721 0.973543
3.9 -0.00886355 1.0434
3.95 -0.00894716 1.11447
4 -0.00902368 1.18675
4.05 -0.00909378 1.26025
4.1 -0.00915809 1.33496
4.15 -0.00921714 1.41089
4.2 -0.00927141 1.48804
4.25 -0.00932134 1.5664
4.3 -0.00936733 1.64597
4.35 -0.00940972 1.72676
4.4 -0.00944883 1.80876
4.45 -0.00948496 1.89198
4.5 -0.00951835 1.97641
4.55 -0.00954924 2.06206
4.6 -0.00957785 2.14892
4.65 -0.00960436 2.237
4.7 -0.00962895 2.32629
4.75 -0.00965177 2.4168
4.8 -0.00967298 2.50852
4.85 -0.00969269 2.60146
4.9 -0.00971103 2.69561
4.95 -0.00972811 2.79098
