0                   1                   
1                   0.66                
2                   0.48                
3                   0.36                
4                   0.25                
5                   0.17                
6                   0.14                
7                   0.09                
8                   0.07                
9                   0.06                
10                  0.03                
11                  0.02                
12                  0.01                
13                  0.01                
14                  0                   
