0                   1                   
1                   0.65                
2                   0.5                 
3                   0.3375              
4                   0.275               
5                   0.175               
6                   0.125               
7                   0.075               
8                   0.05                
9                   0.0375              
10                  0.025               
11                  0.025               
12                  0.0125              
13                  0                   
