0                   1                   
1                   0.6984              
2                   0.4896              
3                   0.3366              
4                   0.2398              
5                   0.1698              
6                   0.1194              
7                   0.0864              
8                   0.0618              
9                   0.0404              
10                  0.028               
11                  0.0198              
12                  0.0136              
13                  0.0098              
14                  0.0064              
15                  0.0042              
16                  0.0022              
17                  0.0018              
18                  0.0014              
19                  0.0012              
20                  0.0006              
21                  0.0002              
22                  0.0002              
23                  0.0002              
24                  0.0002              
25                  0.0002              
26                  0.0002              
27                  0.0002              
28                  0                   
