2.13254   -0.892257
3.0297    -0.546713
2.34984   -1.9004
2.53802   -3.07639
1.14884   -2.35599
0.270479  -2.77238
-0.666907 -2.14672
-1.75072  -2.34148
-0.955859 -2.99821
-0.944593 -1.66765
-1.21721  -0.679037
1.5541    0.318089
1.8225    -0.695709
1.13859   -2.08024
1.72457   0.179393
-1.46338  0.136749
-2.27786  -0.484494
-2.22335  0.564768
-2.98284  -0.285509
-3.89619  0.138289
-4.72923  -0.354598
-3.46309  -1.82969
-3.9625   -1.04003
-3.60893  0.483459
-4.9104   -0.141427
-5.50035  0.570675
-4.40393  -0.298824
-5.45447  -0.311916
-4.81198  -0.908443
-5.4683   -0.383294
