1000      3.14213 0.0528789 
10000     3.14258 0.0169427 
15000     3.14253 0.0140503 
30000     3.1417 0.00991103
50000     3.14137 0.00743728
70000     3.14131 0.00458048
80000     3.14153 0.00683594
90000     3.14168 0.00543727
